year,month,value
1814,11,-0.774
1814,12,-0.913
1815,1,-0.764
1815,2,-0.725
1815,3,-0.679
1815,4,-0.702
1815,5,-0.935
1815,6,-1.35
1815,7,-1.278
1815,8,-1.511
1815,9,-1.493
1815,10,-1.411
1815,11,-1.346
1815,12,-1.299
1816,1,-1.479
1816,2,-1.529
1816,3,-1.598
1816,4,-1.749
1816,5,-1.736
1816,6,-1.674
1816,7,-1.753
1816,8,-1.368
1816,9,-1.258
1816,10,-1.189
1816,11,-1.283
1816,12,-1.332
1817,1,-1.329
1817,2,-1.279
1817,3,-1.444
1817,4,-1.368
1817,5,-1.307
1817,6,-1.401
1817,7,-1.384
1817,8,-1.599
1817,9,-1.51
1817,10,-1.35
1817,11,-1.163
1817,12,-0.895
1818,1,-0.765
1818,2,-0.767
1818,3,-0.594
1818,4,-0.555
1818,5,-0.465
1818,6,-0.311
1818,7,-0.369
1818,8,-0.305
1818,9,-0.595
1818,10,-0.883
1818,11,-0.992
1818,12,-1.13
1819,1,-1.188
1819,2,-1.242
1819,3,-1.178
1819,4,-1.032
1819,5,-1.095
1819,6,-1.173
1819,7,-1.271
1819,8,-1.25
1819,9,-1.086
1819,10,-0.869
1819,11,-0.783
1819,12,-0.72
1820,1,-0.66
1820,2,-0.692
1820,3,-0.683
1820,4,-0.773
1820,5,-0.826
1820,6,-0.837
1820,7,-0.603
1820,8,-0.477
1820,9,-0.415
1820,10,-0.547
1820,11,-0.582
1820,12,-0.684
1821,1,-0.751
1821,2,-0.697
1821,3,-0.813
1821,4,-0.763
1821,5,-0.71
1821,6,-0.634
1821,7,-0.689
1821,8,-0.681
1821,9,-0.517
1821,10,-0.507
1821,11,-0.541
1821,12,-0.464
1822,1,-0.396
1822,2,-0.379
1822,3,-0.338
1822,4,-0.368
1822,5,-0.426
1822,6,-0.575
1822,7,-0.62
1822,8,-0.782
1822,9,-1.0
1822,10,-1.033
1822,11,-1.045
1822,12,-1.019
1823,1,-0.975
1823,2,-0.988
1823,3,-0.986
1823,4,-0.998
1823,5,-0.989
1823,6,-0.858
1823,7,-0.761
1823,8,-0.718
1823,9,-0.68
1823,10,-0.613
1823,11,-0.557
1823,12,-0.566
1824,1,-0.564
1824,2,-0.56
1824,3,-0.483
1824,4,-0.456
1824,5,-0.399
1824,6,-0.221
1824,7,-0.239
1824,8,-0.23
1824,9,-0.259
1824,10,-0.207
1824,11,-0.228
1824,12,-0.217
1825,1,-0.303
1825,2,-0.312
1825,3,-0.358
1825,4,-0.334
1825,5,-0.295
1825,6,-0.413
1825,7,-0.47
1825,8,-0.559
1825,9,-0.574
1825,10,-0.638
1825,11,-0.571
1825,12,-0.587
1826,1,-0.506
1826,2,-0.499
1826,3,-0.484
1826,4,-0.453
1826,5,-0.372
1826,6,-0.228
1826,7,-0.092
1826,8,0.076
1826,9,0.163
1826,10,0.254
1826,11,0.246
1826,12,0.264
1827,1,0.282
1827,2,0.322
1827,3,0.332
1827,4,0.34
1827,5,0.285
1827,6,0.151
1827,7,-0.081
1827,8,-0.235
1827,9,-0.255
1827,10,-0.307
1827,11,-0.337
1827,12,-0.322
1828,1,-0.331
1828,2,-0.331
1828,3,-0.432
1828,4,-0.439
1828,5,-0.473
1828,6,-0.545
1828,7,-0.476
1828,8,-0.505
1828,9,-0.566
1828,10,-0.648
1828,11,-0.661
1828,12,-0.75
1829,1,-0.774
1829,2,-0.801
1829,3,-0.753
1829,4,-0.76
1829,5,-0.821
1829,6,-0.792
1829,7,-0.677
1829,8,-0.472
1829,9,-0.498
1829,10,-0.416
1829,11,-0.505
1829,12,-0.499
1830,1,-0.458
1830,2,-0.446
1830,3,-0.458
1830,4,-0.491
1830,5,-0.285
1830,6,-0.136
1830,7,-0.197
1830,8,-0.328
1830,9,-0.326
1830,10,-0.402
1830,11,-0.333
1830,12,-0.307
1831,1,-0.404
1831,2,-0.493
1831,3,-0.52
1831,4,-0.545
1831,5,-0.787
1831,6,-0.974
1831,7,-1.005
1831,8,-1.067
1831,9,-1.05
1831,10,-1.041
1831,11,-1.079
1831,12,-1.117
1832,1,-1.108
1832,2,-1.115
1832,3,-1.094
1832,4,-1.038
1832,5,-1.068
1832,6,-1.16
1832,7,-1.146
1832,8,-1.061
1832,9,-1.106
1832,10,-1.118
1832,11,-1.107
1832,12,-1.071
1833,1,-1.077
1833,2,-1.003
1833,3,-0.941
1833,4,-0.987
1833,5,-0.772
1833,6,-0.59
1833,7,-0.74
1833,8,-0.748
1833,9,-0.623
1833,10,-0.596
1833,11,-0.543
1833,12,-0.561
1834,1,-0.535
1834,2,-0.525
1834,3,-0.505
1834,4,-0.451
1834,5,-0.463
1834,6,-0.473
1834,7,-0.248
1834,8,-0.22
1834,9,-0.332
1834,10,-0.36
1834,11,-0.449
1834,12,-0.514
1835,1,-0.605
1835,2,-0.696
1835,3,-0.813
1835,4,-0.874
1835,5,-1.078
1835,6,-1.216
1835,7,-1.305
1835,8,-1.344
1835,9,-1.269
1835,10,-1.317
1835,11,-1.333
1835,12,-1.302
1836,1,-1.261
1836,2,-1.25
1836,3,-1.187
1836,4,-1.104
1836,5,-1.111
1836,6,-0.972
1836,7,-0.944
1836,8,-0.932
1836,9,-1.054
1836,10,-1.133
1836,11,-1.171
1836,12,-1.192
1837,1,-1.196
1837,2,-1.135
1837,3,-1.13
1837,4,-1.224
1837,5,-1.19
1837,6,-1.252
1837,7,-1.511
1837,8,-1.598
1837,9,-1.612
1837,10,-1.514
1837,11,-1.487
1837,12,-1.435
1838,1,-1.356
1838,2,-1.324
1838,3,-1.299
1838,4,-1.218
1838,5,-1.149
1838,6,-1.125
1838,7,-0.862
1838,8,-0.698
